,mae,name,num_size
0,2.404879,opv,10
1,0.9458918,esol,200
2,0.9107121,Lipo,100
3,1.8315071,opv,200
4,1.8014692,opv,200
5,81.81706,photoswitch,50
6,1.8239585,opv,200
7,0.7419273,Lipo,200
8,1.1551638,Lipo,10
9,0.8010107,Lipo,200
10,0.98020357,esol,50
11,1.7022814,opv,500
12,2.0149188,opv,100
13,1.1582986,FreeSolv,200
14,1.0620474,Lipo,50
15,0.9533254,esol,10
16,1.6739367,opv,500
17,1.869568,FreeSolv,50
18,1.8566401,FreeSolv,50
19,1.0961522,Lipo,10
20,1.7242339,opv,200
21,1.012134,Lipo,50
22,1.0721748,Lipo,10
23,1.934879,opv,50
24,0.97378874,Lipo,50
25,0.9802983,esol,100
26,1.6595049,opv,500
27,1.3344963,FreeSolv,200
28,0.87038517,Lipo,100
29,1.6894623,opv,500
30,0.922372,Lipo,100
31,44.607254,photoswitch,100
32,2.1187458,opv,10
33,1.6929499,opv,500
34,1.4764444,FreeSolv,100
35,1.9081799,opv,100
36,2.1212182,opv,10
37,0.9648627,Lipo,100
38,0.87968177,Lipo,100
39,0.661378,Lipo,500
40,0.51694316,qmug,100
41,0.7843908,Lipo,200
42,1.2804515,Lipo,10
43,1.7248449,opv,500
44,1.8534769,opv,100
45,1.5465021,FreeSolv,100
46,1.62728,FreeSolv,100
47,0.67124194,Lipo,500
48,0.88983315,Lipo,100
49,1.9016223,opv,50
50,1.1690296,esol,100
51,1.60356,opv,500
52,1.0887777,Lipo,50
53,0.9802035,esol,20
54,3.8538496,FreeSolv,10
55,3.3307977,FreeSolv,10
56,0.35153532,qmug,1000
57,1.9335058,opv,50
58,1.0633682,FreeSolv,500
59,1.6621642,FreeSolv,100
60,0.8097197,Lipo,200
61,0.6614851,Lipo,500
62,1.0730022,FreeSolv,200
63,1.7860687,opv,200
64,1.7625874,FreeSolv,100
65,0.7612704,Lipo,200
66,0.92814475,Lipo,50
67,1.9277838,opv,100
68,0.7872993,Lipo,200
69,1.0005813,FreeSolv,500
70,1.1085709,FreeSolv,200
71,0.6893943,Lipo,500
72,0.5667069,qmug,50
73,1.7605009,opv,200
74,3.8005607,FreeSolv,10
75,2.1249287,opv,10
76,1.8562096,opv,200
77,0.98020357,esol,200
78,2.0131872,opv,10
79,3.0568998,FreeSolv,10
80,2.1407473,opv,10
81,0.67657614,Lipo,500
82,2.0221815,opv,50
83,2.150748,FreeSolv,50
84,1.845608,opv,200
85,78.75317,photoswitch,20
86,1.8868421,opv,200
87,1.6412929,opv,500
88,0.9368663,esol,500
89,1.7932353,opv,200
90,0.88152814,Lipo,100
91,0.78682107,Lipo,200
92,1.22801,FreeSolv,200
93,3.342193,FreeSolv,10
94,0.8308764,FreeSolv,500
95,2.7377498,FreeSolv,10
96,0.6544437,Lipo,500
97,1.0276197,FreeSolv,500
98,1.0030975,Lipo,50
99,2.1480153,opv,50
100,1.7382838,FreeSolv,50
101,1.8312284,opv,200
102,26.978172,photoswitch,200
103,1.275617,Lipo,10
104,0.9540648,FreeSolv,500
105,1.2281767,Lipo,10
106,2.0414429,opv,50
107,179.78822,photoswitch,20
108,1.9527019,FreeSolv,50
109,1.0182638,Lipo,50
110,1.7886031,opv,200
111,1.0382106,Lipo,50
112,1.1229098,Lipo,10
113,160.73445,photoswitch,50
114,0.8832074,qmug,1000
115,2.0237381,opv,10
116,25.701292,photoswitch,200
117,0.66739774,Lipo,500
118,1.1170666,FreeSolv,200
119,2.2846503,opv,50
120,1.9239318,opv,50
121,1.0721473,Lipo,10
122,0.9047112,Lipo,100
123,0.65690416,Lipo,500
124,1.4117346,FreeSolv,100
125,2.0439754,opv,50
126,2.2923582,opv,50
127,1.129279,Lipo,10
128,0.6523694,Lipo,500
129,0.8078529,FreeSolv,500
130,1.9823465,opv,100
131,1.6009132,opv,500
132,2.011307,FreeSolv,50
133,1.0972698,Lipo,10
134,0.38452503,qmug,500
135,1.5925282,FreeSolv,100
136,0.6903191,Lipo,500
137,2.143882,opv,10
138,1.1496215,FreeSolv,200
139,1.9728585,FreeSolv,50
140,1.8651096,opv,200
141,1.9372354,opv,100
142,1.002729,esol,20
143,0.43754974,qmug,200
144,1.7309313,opv,100
145,0.83857906,Lipo,100
146,1.8900172,FreeSolv,50
147,0.99454474,FreeSolv,500
148,0.8333513,FreeSolv,500
149,0.9402401,Lipo,100
150,1.916243,opv,50
151,0.8958646,FreeSolv,500
152,2.415557,opv,10
153,0.8192764,Lipo,200
154,1.8042372,opv,100
155,1.8645478,FreeSolv,50
156,1.8855449,opv,50
157,0.81009346,Lipo,200
158,1.16148,FreeSolv,200
159,160.0177,photoswitch,10
160,1.0544183,FreeSolv,200
161,1.8497963,opv,100
162,1.1169156,Lipo,10
163,0.7610796,Lipo,200
164,1.5434521,qmug,10
165,0.8389925,FreeSolv,500
166,1.1214592,FreeSolv,200
167,0.6473302,Lipo,500
168,1.7221822,opv,200
169,0.75331604,Lipo,200
170,1.8689378,opv,100
171,1.3483926,FreeSolv,100
172,1.6486096,opv,500
173,1.6800586,FreeSolv,100
174,1.5461015,FreeSolv,100
175,0.96743464,esol,50
176,1.6221365,opv,500
177,1.0560527,Lipo,10
178,0.9349676,qmug,10
179,1.0015397,Lipo,50
180,1.889106,opv,100
181,2.0472488,opv,10
182,1.8323047,opv,100
183,1.7451091,opv,200
184,1.6229458,opv,500
185,1.0910251,esol,10
186,1.8602414,FreeSolv,50
187,1.0238187,Lipo,50
188,2.0815604,opv,10
189,1.8556142,FreeSolv,50
190,1.7015307,opv,500
191,1.9417562,opv,50
192,1.17853,Lipo,10
193,0.94264126,Lipo,50
194,0.65196556,Lipo,500
195,1.990732,opv,50
196,196.19858,photoswitch,10
197,2.0469236,opv,100
198,1.2632891,FreeSolv,200
199,1.8493452,opv,50
200,53.247967,photoswitch,100
201,0.8060253,Lipo,200
202,0.9678944,Lipo,50
203,2.0346837,opv,10
204,0.9802035,esol,10
205,2.1166723,opv,10
206,2.3824794,opv,10
207,0.9204156,esol,500
208,1.9826733,opv,100
209,1.6531464,FreeSolv,100
210,1.889698,opv,100
211,2.9625146,FreeSolv,10
212,0.8659286,Lipo,100
213,2.3619363,opv,10
214,0.82769513,FreeSolv,500
215,3.3067176,FreeSolv,10
216,2.0229008,opv,50
217,0.68014264,Lipo,500
218,1.6327485,opv,500
219,1.8822579,opv,200
220,0.9286478,Lipo,100
221,2.8343213,FreeSolv,10
222,3.2296133,FreeSolv,10
223,1.1510035,FreeSolv,200
224,1.516436,FreeSolv,100
225,0.88675416,Lipo,100
226,0.65988195,qmug,50
227,2.546251,FreeSolv,10
228,0.97906065,FreeSolv,500
229,0.98020357,esol,100
230,2.3275356,opv,10
231,0.7497511,Lipo,200
232,1.8100494,FreeSolv,50
233,0.9492422,Lipo,50
234,2.8847332,FreeSolv,10
235,2.0639296,opv,100
